ranking,source,target,value,ichioshi,comment
163,パチュリー・ノーレッジ,十六夜咲夜,60,7,5,※
164,八意永琳,メディスン・メランコリー,59,7,12,※
164,風見幽香,魅魔,59,10,7,※
166,博麗霊夢,フランドール・スカーレット,58,11,7,※
166,紅美鈴,パチュリー・ノーレッジ,58,12,10,※
166,風見幽香,エリー,58,9,7,※
169,橙,火焔猫燐,57,9,11,※
170,大妖精,小悪魔,56,7,9,※
170,西行寺幽々子,ミスティア・ローレライ,56,6,8,※
170,八雲藍,二ッ岩マミゾウ,56,6,13,※
173,パチュリー・ノーレッジ,フランドール・スカーレット,55,9,4,※
173,古明地さとり,霊烏路空,55,4,3,※
175,八雲紫,風見幽香,53,12,4,※
175,八雲紫,マエリベリー・ハーン,53,3,5,※
175,ウワバミ,易者,53,6,16,※
178,博麗霊夢,古明地さとり,52,5,6,※
178,魂魄妖夢,魂魄妖忌,52,1,13,※
178,東風谷早苗,ヘカーティア・ラピスラズリ,52,7,17,※
181,ルーミア,リグル・ナイトバグ,51,12,9,※
181,伊吹萃香,比那名居天子,51,4,5,※
181,村紗水蜜,聖白蓮,51,6,8,※
184,雲居一輪,聖白蓮,49,9,7,※
185,アリス・マーガトロイド,メディスン・メランコリー,48,5,5,※
186,大妖精,リリーホワイト,47,13,13,※
187,チルノ,レミリア・スカーレット,46,14,5,※
187,チルノ,風見幽香,46,8,8,※
187,多々良小傘,秦こころ,46,8,5,※
190,博麗霊夢,八雲藍,45,11,9,※
190,宇佐見菫子,宇佐見蓮子,45,2,8,※
192,霧雨魔理沙,鈴仙・優曇華院・イナバ,44,9,6,※
192,霧雨魔理沙,龍（子龍、邪龍他）,44,5,15,※
192,アリス・マーガトロイド,東風谷早苗,44,7,11,※
195,紅美鈴,風見幽香,43,9,3,※
195,ルナサ・プリズムリバー,メルラン・プリズムリバー,43,8,8,※
195,メディスン・メランコリー,鍵山雛,43,7,6,※
198,博麗霊夢,魂魄妖夢,42,9,5,※
198,博麗霊夢,玄爺,42,3,12,※
198,橙,因幡てゐ,42,5,7,※
201,霧雨魔理沙,藤原妹紅,41,8,5,※
201,小悪魔,十六夜咲夜,41,6,4,※
201,因幡てゐ,蓬莱山輝夜,41,5,7,※
204,魂魄妖夢,犬走椛,40,4,9,※
205,霧雨魔理沙,風見幽香,39,3,3,※
205,フランドール・スカーレット,封獣ぬえ,39,3,2,※
205,魂魄妖夢,東風谷早苗,39,8,7,※
208,博麗霊夢,レティ・ホワイトロック,38,9,8,※
208,八雲紫,伊吹萃香,38,4,4,※
208,鈴仙・優曇華院・イナバ,レイセン,38,6,9,※
211,フランドール・スカーレット,アリス・マーガトロイド,37,3,2,※
212,霧雨魔理沙,八雲紫,36,4,10,※
212,チルノ,フランドール・スカーレット,36,7,6,※
212,チルノ,藤原妹紅,36,4,6,※
212,レミリア・スカーレット,多々良小傘,36,6,5,※
212,風見幽香,堀川雷鼓,36,5,6,※
212,東風谷早苗,古明地こいし,36,7,5,※
212,雲山,森近霖之助,36,3,8,※
212,サニーミルク,ルナチャイルド,36,9,4,※
220,ルーミア,レミリア・スカーレット,35,8,7,※
220,レミリア・スカーレット,アリス・マーガトロイド,35,5,9,※
220,フランドール・スカーレット,藤原妹紅,35,7,4,※
220,西行寺幽々子,魂魄妖忌,35,6,9,※
224,霧雨魔理沙,東風谷早苗,34,4,3,※
224,チルノ,紅美鈴,34,2,5,※
224,八雲紫,綿月豊姫,34,9,7,※
224,河城にとり,黒谷ヤマメ,34,6,4,※
224,多々良小傘,宮古芳香,34,6,6,※
224,サリエル,コンガラ,34,8,7,※
224,魅魔,神綺,34,4,6,※
231,霧雨魔理沙,古明地こいし,33,5,0,※
231,魂魄妖夢,物部布都,33,7,5,※
231,ミスティア・ローレライ,名無しの本読み妖怪,33,10,8,※
231,伊吹萃香,射命丸文,33,3,5,※
231,四季映姫・ヤマザナドゥ,鬼人正邪,33,6,3,※
231,霊烏路空,古明地こいし,33,4,6,※
231,霍青娥,蘇我屠自古,33,5,7,※
238,ルーミア,大妖精,32,5,3,※
238,ルーミア,キスメ,32,3,5,※
238,大妖精,ルナサ・プリズムリバー,32,5,8,※
238,チルノ,霊烏路空,32,3,9,※
238,魂魄妖夢,八雲藍,32,6,5,※
238,八雲紫,八意永琳,32,2,3,※
238,リグル・ナイトバグ,黒谷ヤマメ,32,5,5,※
245,博麗霊夢,多々良小傘,31,2,10,※
245,霧雨魔理沙,射命丸文,31,6,8,※
245,橙,ナズーリン,31,3,7,※
245,射命丸文,本居小鈴,31,4,4,※
245,風見幽香,幻月,31,7,7,※
245,二ッ岩マミゾウ,秦こころ,31,3,3,※
251,聖白蓮,秦こころ,30,0,5,※
252,十六夜咲夜,東風谷早苗,29,6,10,※
252,レティ・ホワイトロック,リリーホワイト,29,7,6,※
252,聖白蓮,命蓮,29,4,12,※
252,本居小鈴,易者,29,4,6,※
256,紅美鈴,小悪魔,28,3,4,※
256,十六夜咲夜,森近霖之助,28,3,5,※
256,フランドール・スカーレット,サニーミルク,28,5,10,※
256,メルラン・プリズムリバー,リリカ・プリズムリバー,28,2,7,※
256,射命丸文,稗田阿求,28,5,6,※
256,キクリ,コンガラ,28,6,2,※
256,くるみ,エリー,28,4,6,※
263,博麗霊夢,火焔猫燐,27,8,5,※
263,博麗霊夢,秦こころ,27,4,3,※
263,橙,八雲紫,27,1,6,※
266,霧雨魔理沙,レミリア・スカーレット,26,5,2,※
266,ルナサ・プリズムリバー,リリカ・プリズムリバー,26,5,1,※
266,鈴仙・優曇華院・イナバ,東風谷早苗,26,4,4,※
266,霍青娥,物部布都,26,1,7,※
266,少名針妙丸,宇佐見菫子,26,1,3,※
271,博麗霊夢,魅魔,25,2,7,※
271,霧雨魔理沙,聖白蓮,25,3,2,※
271,フランドール・スカーレット,古明地さとり,25,5,3,※
271,八雲紫,森近霖之助,25,2,3,※
271,水橋パルスィ,古明地こいし,25,2,5,※
271,二ッ岩マミゾウ,茨木華扇,25,1,5,※
271,稀神サグメ,クラウンピース,25,2,6,※
271,本居小鈴,狐（妖怪狐、狐の子他）,25,3,11,※
279,十六夜咲夜,八意永琳,24,3,4,※
279,リリカ・プリズムリバー,九十九八橋,24,4,8,※
279,四季映姫・ヤマザナドゥ,聖白蓮,24,4,2,※
279,古明地こいし,多々良小傘,24,4,2,※
279,古明地こいしと,鬼人正邪,24,6,3,※
279,聖白蓮,神綺,24,3,4,※
279,幽谷響子,今泉影狼,24,3,5,※
286,八意永琳,稀神サグメ,23,1,4,※
286,犬走椛,東風谷早苗,23,6,2,※
286,サニーミルク,スターサファイア,23,4,5,※
289,霧雨魔理沙,本居小鈴,22,3,6,※
289,紅美鈴,星熊勇儀,22,4,4,※
289,パチュリー・ノーレッジ,古明地さとり,22,3,3,※
289,八雲紫,宇佐見菫子,22,3,6,※
289,ミスティア・ローレライ,射命丸文,22,5,5,※
289,因幡てゐ,八意永琳,22,4,4,※
289,鈴仙・優曇華院・イナバ,清蘭,22,1,5,※
289,八意永琳,藤原妹紅,22,0,3,※
289,火焔猫燐,古明地こいし,22,5,1,※
289,ナズーリン,森近霖之助,22,3,4,※
289,クラウンピース,サニーミルク,22,2,2,※
289,エレン,カナ・アナベラル,22,5,5,※
301,博麗霊夢,鬼人正邪,21,5,4,※
301,紅美鈴,大ナマズ,21,2,8,※
301,アリス・マーガトロイド,八雲紫,21,5,3,※
301,アリス・マーガトロイド,比那名居天子,21,5,2,※
301,東風谷早苗,宇佐見菫子,21,2,6,※
301,稗田阿求,森近霖之助,21,0,1,※
307,レミリア・スカーレット,チュパカブラ,20,3,5,※
307,魂魄妖夢,比那名居天子,20,2,6,※
309,ルーミア,多々良小傘,19,6,5,※
309,小悪魔,フランドール・スカーレット,19,2,4,※
309,パチュリー・ノーレッジ,魂魄妖夢,19,6,5,※
309,十六夜咲夜,夢子,19,3,4,※
309,蓬莱山輝夜,スターサファイア,19,4,6,※
309,鍵山雛,ドレミー・スイート,19,0,14,※
309,東風谷早苗,核熱造神ヒソウテンソク,19,1,5,※
309,雲居一輪,秦こころ,19,2,4,※
309,幽谷響子,稀神サグメ,19,1,11,※
309,九十九弁々,堀川雷鼓,19,4,1,※
309,ルナチャイルド,スターサファイア,19,2,3,※
